,date,Prawo i Sprawiedliwość,Porozumienie,Solidarna Polska,PlatformaObywatelska,.Nowoczesna,Partia Zieloni 🌻,Inicjatywa Polska,Konfederacja,Ruch Narodowy,Partia KORWiN,🍀 PSL,KUKIZ15 🇵🇱,Lewica,Razem
78,2020-03-19,1030,76,130,1894,103,0,0,2436,76,270,6,0,361,534
79,2020-03-20,1362,0,0,1095,105,0,0,2844,0,614,36,46,553,928
80,2020-03-21,1213,336,0,0,0,0,0,1328,0,0,0,0,743,1956
81,2020-03-22,39,0,0,57,0,40,0,1800,0,0,11,0,432,198
82,2020-03-23,701,14,0,2034,2,159,0,1904,19,200,4,0,421,1929
83,2020-03-24,1226,66,0,1196,0,61,0,3581,0,28,187,7,207,888
84,2020-03-25,1010,102,0,2196,0,175,0,4639,0,0,4299,0,503,115
85,2020-03-26,1444,144,0,2313,0,252,0,2860,18,0,1584,0,612,4947
86,2020-03-27,1794,46,0,3218,0,67,0,4679,32,61,135,0,2658,1964
87,2020-03-28,331,89,0,1898,58,91,0,2923,0,0,4,0,863,2058
88,2020-03-29,63,0,0,351,8,0,0,1797,0,0,487,0,691,1171
89,2020-03-30,791,0,2,1380,38,202,0,3377,93,0,7,0,486,176
90,2020-03-31,1103,84,0,2512,2,206,0,2946,0,0,659,0,902,487
91,2020-04-01,915,150,0,549,0,144,0,3329,10,0,27,0,377,1215
92,2020-04-02,637,351,11,1239,0,198,56,3057,0,0,10,0,592,1208
93,2020-04-03,1867,554,0,1970,0,187,16,4251,0,651,16,0,1119,894
94,2020-04-04,434,0,0,40,0,378,127,2288,47,44,9,0,487,0
95,2020-04-05,151,0,12,225,134,0,0,1488,0,246,0,0,208,149
96,2020-04-06,1330,484,0,4301,0,208,0,7476,0,94,150,0,3386,2170
97,2020-04-07,1002,481,39,638,0,191,113,3802,0,303,248,0,869,961
98,2020-04-08,1446,107,0,1787,0,224,0,2852,0,134,25,0,308,490
99,2020-04-09,1017,289,0,345,58,288,0,2200,0,220,10,0,415,538
100,2020-04-10,2878,124,0,578,48,284,14,1215,26,211,128,0,560,1511
101,2020-04-11,594,0,0,391,0,182,0,0,0,190,0,0,76,0
102,2020-04-12,0,0,341,426,0,65,0,0,478,0,6,0,584,0
103,2020-04-13,338,0,0,118,0,35,0,0,70,55,0,0,86,913
104,2020-04-14,683,16,0,473,0,457,168,2368,73,0,32,0,1332,2600
105,2020-04-15,1154,202,0,1819,3,112,0,6239,482,0,19,0,5021,7944
106,2020-04-16,408,273,102,725,25,284,65,2956,37,0,19,0,878,4856
107,2020-04-17,370,155,0,907,120,185,0,2566,331,0,7,0,504,0
108,2020-04-18,54,44,23,235,0,241,0,1096,0,0,11,0,443,0
109,2020-04-19,145,13,0,440,0,222,15,1429,0,0,0,0,860,2326
110,2020-04-20,341,360,3,2378,0,393,0,2954,184,292,191,4,943,529
111,2020-04-21,324,173,0,1368,97,163,0,3015,170,834,134,0,1464,861
112,2020-04-22,362,220,14,1139,39,249,13,3017,78,1021,69,0,1078,2808
113,2020-04-23,449,165,185,1846,4,178,33,1738,45,111,10,0,1389,1359
114,2020-04-24,310,558,1,3683,25,405,0,3252,134,294,28,0,964,240
115,2020-04-25,596,111,0,178,0,164,0,2634,0,0,0,0,945,87
116,2020-04-26,97,0,0,824,23,43,0,2016,0,0,6,0,947,0
117,2020-04-27,382,93,0,891,86,373,28,2907,0,37,123,0,550,706
118,2020-04-28,100,785,0,1292,0,283,0,1420,27,221,90,0,591,748
119,2020-04-29,618,125,0,81,4,221,0,3823,13,0,24,0,2087,1935
120,2020-04-30,342,165,0,766,0,51,0,2723,0,540,28,0,723,393
121,2020-05-01,364,7,0,207,136,201,27,2674,0,0,17,0,941,292
122,2020-05-02,424,0,103,140,52,20,0,995,85,0,3,0,339,0
123,2020-05-03,410,36,55,964,139,104,42,1535,0,0,18,0,531,1076
124,2020-05-04,139,305,0,916,12,175,0,3295,0,880,11,0,531,0
125,2020-05-05,333,689,180,1252,54,359,12,3150,185,0,4,0,696,428
126,2020-05-06,2054,500,0,335,0,132,0,6126,653,0,65,0,559,648
127,2020-05-07,137,849,0,2149,9,198,0,3976,0,428,12,0,1983,2921
128,2020-05-08,37,72,0,3271,0,158,0,4162,0,1302,90,0,951,1941
129,2020-05-09,126,27,0,263,20,311,0,1064,0,1281,226,0,403,1277
130,2020-05-10,89,9,402,1255,0,165,0,1604,0,265,10,0,1323,764
131,2020-05-11,875,510,0,961,0,218,0,2569,0,351,9,0,504,991
132,2020-05-12,712,269,25,1728,98,313,0,3710,0,757,162,0,1303,1488
133,2020-05-13,1272,293,0,79,0,234,0,2800,0,151,30,0,1105,355
134,2020-05-14,932,115,0,1181,0,221,0,1820,0,0,143,0,890,1878
135,2020-05-15,2491,43,0,4989,20,175,0,2216,0,1256,0,0,748,0
136,2020-05-16,502,36,0,1306,40,147,0,1580,0,288,0,0,671,856
137,2020-05-17,68,43,0,6986,107,130,52,1346,82,222,21,0,1465,0
138,2020-05-18,2326,106,11,5616,3,199,0,2326,13,362,0,0,663,493
139,2020-05-19,1335,233,0,3149,0,222,4,2338,110,131,38,0,1249,640
140,2020-05-20,599,38,0,1914,0,336,0,2146,0,0,34,0,964,1237
141,2020-05-21,589,116,0,1354,0,159,0,2107,94,0,22,0,801,433
142,2020-05-22,1686,71,0,911,14,174,0,2274,83,473,96,0,1388,187
143,2020-05-23,133,19,4,1341,16,51,0,2119,422,826,17,0,339,425
144,2020-05-24,73,0,0,338,7,1917,0,1054,0,0,0,0,702,2156
145,2020-05-25,1154,101,0,1973,3,508,0,3597,864,0,19,0,652,853
146,2020-05-26,1556,18,0,1516,8,145,12,3160,535,0,128,13,469,162
147,2020-05-27,3727,246,0,2386,0,250,0,3921,517,487,14,0,896,1798
148,2020-05-28,3060,59,24,6380,0,317,0,3292,683,0,17,0,1652,1467
149,2020-05-29,1694,73,0,19,0,299,0,2164,694,0,14,0,389,2425
150,2020-05-30,2767,0,0,1250,0,281,0,2139,369,0,32,0,805,3309
151,2020-05-31,70,24,0,873,2,0,0,1761,260,2184,49,0,229,316
