,date,Prawo i Sprawiedliwość,Porozumienie,Solidarna Polska,PlatformaObywatelska,.Nowoczesna,Partia Zieloni 🌻,Inicjatywa Polska,Konfederacja,Ruch Narodowy,Partia KORWiN,🍀 PSL,KUKIZ15 🇵🇱,Lewica,Razem
82,2020-03-23,185,4,0,641,0,93,0,521,5,50,2,0,112,210
83,2020-03-24,337,32,0,410,0,23,0,979,0,6,122,5,58,67
84,2020-03-25,338,51,0,686,0,72,0,863,0,0,1160,0,99,18
85,2020-03-26,390,43,0,760,0,86,0,694,4,0,429,0,156,964
86,2020-03-27,523,24,0,1017,0,27,0,1133,7,14,39,0,654,402
87,2020-03-28,121,43,0,639,38,6,0,666,0,0,2,0,156,228
88,2020-03-29,21,0,0,121,2,0,0,450,0,0,120,0,110,166
89,2020-03-30,245,0,2,447,23,73,0,774,19,0,5,0,140,19
90,2020-03-31,295,23,0,927,1,91,0,664,0,0,117,0,222,38
91,2020-04-01,221,57,0,154,0,87,0,746,4,0,16,1,78,137
92,2020-04-02,193,96,3,326,0,100,18,755,0,0,5,0,107,149
93,2020-04-03,491,181,0,512,0,67,7,1005,0,112,7,0,251,117
94,2020-04-04,109,0,0,13,0,159,32,602,13,10,1,0,73,0
95,2020-04-05,47,0,6,50,59,0,0,370,0,48,0,0,48,5
96,2020-04-06,408,148,0,1109,0,85,0,1685,0,24,72,0,782,284
97,2020-04-07,226,154,9,180,0,58,42,934,0,59,131,0,202,150
98,2020-04-08,365,39,0,403,0,102,0,662,0,22,12,0,73,123
99,2020-04-09,323,84,0,98,34,139,0,457,0,61,7,0,55,117
100,2020-04-10,649,38,0,172,21,89,5,184,6,55,65,0,90,146
101,2020-04-11,85,0,0,88,0,57,0,0,0,23,0,0,13,0
102,2020-04-12,0,0,85,89,0,23,0,0,71,0,4,0,78,0
103,2020-04-13,100,0,0,25,0,1,0,0,22,12,0,0,14,132
104,2020-04-14,190,9,0,104,0,147,50,502,22,0,19,0,266,484
105,2020-04-15,320,70,0,445,0,34,0,1505,122,0,11,0,835,1328
106,2020-04-16,137,102,14,263,11,94,16,671,16,0,8,0,189,787
107,2020-04-17,92,46,0,290,77,84,0,517,77,0,2,0,104,0
108,2020-04-18,10,11,5,84,0,83,0,281,0,0,5,0,53,0
109,2020-04-19,38,7,0,199,0,71,7,345,0,0,0,0,145,187
110,2020-04-20,78,104,2,772,0,154,0,496,67,50,73,1,139,57
111,2020-04-21,91,42,0,382,52,67,0,755,35,147,83,0,252,72
112,2020-04-22,103,75,5,371,22,120,13,576,14,142,43,0,296,227
113,2020-04-23,100,51,60,511,1,86,15,402,11,18,5,0,250,299
114,2020-04-24,101,132,0,1020,13,152,0,848,38,79,12,0,154,43
115,2020-04-25,146,35,0,60,0,84,0,546,0,0,0,0,183,14
116,2020-04-26,34,0,0,288,10,15,0,417,0,0,4,0,163,0
117,2020-04-27,93,15,0,309,47,159,15,564,0,11,41,0,105,113
118,2020-04-28,24,255,0,313,0,120,0,379,7,43,34,0,102,115
119,2020-04-29,185,32,0,27,0,95,0,939,4,0,13,0,516,355
120,2020-04-30,90,49,0,263,0,20,0,640,0,163,14,0,123,64
121,2020-05-01,118,3,0,56,46,63,5,481,0,0,6,0,211,54
122,2020-05-02,108,0,23,42,21,8,0,225,19,0,4,0,63,0
123,2020-05-03,94,8,13,243,44,40,11,325,0,0,13,0,121,43
124,2020-05-04,40,64,0,312,1,62,0,704,0,228,5,0,82,0
125,2020-05-05,83,175,44,317,21,116,8,663,52,0,1,0,126,64
126,2020-05-06,532,119,0,134,0,40,0,1062,120,0,13,0,123,73
127,2020-05-07,53,234,0,641,3,79,0,768,0,87,4,0,357,269
128,2020-05-08,12,21,0,987,0,49,0,839,0,182,48,0,167,182
129,2020-05-09,34,4,0,90,6,115,0,242,0,240,113,0,66,38
130,2020-05-10,22,2,141,312,0,58,0,246,0,20,3,0,258,59
131,2020-05-11,216,137,0,269,0,118,0,474,0,84,2,0,89,128
132,2020-05-12,170,66,2,407,52,95,0,770,0,82,79,0,258,198
133,2020-05-13,334,92,0,31,0,87,0,493,0,29,13,0,261,43
134,2020-05-14,272,24,0,307,0,68,0,456,0,0,72,0,157,209
135,2020-05-15,662,4,0,1109,9,66,0,533,0,136,0,0,110,0
136,2020-05-16,100,5,0,425,15,63,0,384,0,24,0,0,108,72
137,2020-05-17,24,7,0,2018,27,46,8,286,17,62,9,0,298,0
138,2020-05-18,538,18,4,1292,0,101,0,471,4,54,0,0,98,71
139,2020-05-19,344,62,0,622,0,61,1,469,23,20,18,0,286,81
140,2020-05-20,173,7,0,541,0,119,0,496,0,0,15,0,190,101
141,2020-05-21,145,27,0,301,0,76,0,507,20,0,11,0,181,60
142,2020-05-22,485,21,0,259,2,90,0,408,24,49,50,0,196,27
143,2020-05-23,42,5,1,273,3,22,0,297,91,171,8,0,56,74
144,2020-05-24,18,0,0,106,0,308,0,204,0,0,0,0,85,156
145,2020-05-25,270,24,0,567,1,196,0,735,214,0,11,0,135,150
146,2020-05-26,495,5,0,405,4,58,6,743,146,0,67,4,101,41
147,2020-05-27,990,73,0,681,0,113,0,802,152,78,5,0,205,426
148,2020-05-28,696,17,5,1854,0,139,0,771,213,0,7,0,322,152
149,2020-05-29,554,19,0,2,0,101,0,482,150,0,10,0,52,225
150,2020-05-30,954,0,0,293,0,80,0,380,120,0,13,0,123,551
151,2020-05-31,19,7,0,194,0,0,0,280,57,305,20,0,34,39
152,2020-06-01,247,26,12,425,0,95,0,628,37,0,34,0,133,48
153,2020-06-02,475,8,0,120,3,87,0,507,115,0,4,0,273,397
154,2020-06-03,683,12,0,82,0,68,0,527,14,0,15,0,129,194
155,2020-06-04,1510,23,0,652,24,93,0,1021,100,0,165,2,668,43
156,2020-06-05,150,16,0,118,10,99,7,330,108,25,0,0,135,213
157,2020-06-06,346,6,0,108,1,20,0,408,67,68,0,0,37,31
158,2020-06-07,25,2,0,15,0,0,2,541,128,0,2,0,80,46
159,2020-06-08,211,32,0,70,0,75,0,612,66,0,42,0,157,185
160,2020-06-09,221,12,0,87,5,38,0,836,133,0,40,0,66,80
161,2020-06-10,30,21,0,973,2,144,48,509,8,71,5,0,20,131
162,2020-06-11,37,0,0,121,1,0,0,244,74,0,0,0,10,336
163,2020-06-12,175,164,0,230,0,95,13,340,54,0,8,0,121,237
164,2020-06-13,298,0,15,7,5,26,0,191,38,0,5,0,271,830
165,2020-06-14,122,6,0,81,0,106,0,222,82,0,13,0,20,1461
166,2020-06-15,47,3,0,268,0,88,0,829,189,0,5,0,214,233
167,2020-06-16,43,7,0,197,0,35,0,630,10,0,47,0,216,595
168,2020-06-17,69,2,0,303,4,70,0,956,172,0,8,0,78,1060
169,2020-06-18,9,0,0,181,0,55,0,484,35,0,8,0,43,252
170,2020-06-19,30,8,0,317,0,88,0,556,125,0,0,0,271,46
171,2020-06-20,19,3,0,83,0,0,0,713,65,0,0,0,132,198
172,2020-06-21,51,0,0,125,0,0,0,321,61,57,40,0,154,0
173,2020-06-22,156,33,0,254,6,90,0,497,84,0,5,0,43,78
174,2020-06-23,129,10,0,273,7,33,0,616,69,0,36,0,93,221
175,2020-06-24,22,17,0,104,0,43,0,750,62,3,5,7,26,450
176,2020-06-25,132,1,0,409,0,80,0,645,38,66,30,0,149,66
177,2020-06-26,19,4,3,179,0,38,0,981,32,0,4,2,15,217
178,2020-06-27,0,0,0,0,0,17,0,42,0,0,0,0,0,0
179,2020-06-28,15,0,0,0,0,32,0,538,0,1,8,0,0,0
180,2020-06-29,10,30,0,359,0,62,0,376,0,0,6,0,46,497
181,2020-06-30,32,10,0,176,0,90,0,410,28,0,93,0,239,151
182,2020-07-01,91,6,7,156,3,145,0,747,12,0,8,0,134,28
183,2020-07-02,146,0,1,511,4,41,0,741,15,0,5,0,70,0
184,2020-07-03,84,9,0,132,4,57,0,722,124,0,2,0,8,0
185,2020-07-04,23,0,0,3,0,28,0,239,29,0,94,0,25,0
186,2020-07-05,23,0,18,2,1,0,134,384,0,0,4,0,285,0
187,2020-07-06,42,0,0,148,0,64,0,923,65,17,0,0,73,55
188,2020-07-07,35,2,62,115,4,148,0,361,27,0,0,11,42,103
189,2020-07-08,41,0,39,51,4,96,0,726,91,0,9,6,48,0
190,2020-07-09,500,2,0,308,0,69,0,450,36,0,80,0,59,0
191,2020-07-10,15,2,105,776,0,0,2,555,105,0,0,11,85,20
192,2020-07-11,0,0,0,0,0,28,0,333,38,0,0,0,17,0
193,2020-07-12,0,7,0,68,0,36,0,342,0,0,0,0,3,2282
194,2020-07-13,22,22,0,0,1,43,0,532,86,0,0,0,128,53
195,2020-07-14,549,12,0,1136,4,55,0,367,186,0,2,0,108,35
196,2020-07-15,24,0,4,486,0,30,0,734,114,28,266,0,328,427
197,2020-07-16,42,0,0,504,1,114,0,686,73,11,165,2,203,91
198,2020-07-17,187,11,0,774,0,35,0,550,98,0,5,0,112,31
199,2020-07-18,27,0,0,0,1,0,6,230,3,0,3,0,74,0
200,2020-07-19,540,9,0,8,0,0,0,250,6,0,5,0,396,34
201,2020-07-20,125,15,0,2,0,107,29,703,89,29,0,0,45,111
202,2020-07-21,565,0,0,340,1,130,22,537,72,43,117,0,102,40
203,2020-07-22,414,5,11,415,1,81,21,1082,248,0,67,0,146,811
